Date	Delta	Omicron	TotalCases
2019-12-29	NA	NA	NA
2020-01-05	NA	NA	NA
2020-01-12	NA	NA	NA
2020-01-19	NA	NA	NA
2020-01-26	NA	NA	NA
2020-02-02	NA	NA	NA
2020-02-09	NA	NA	NA
2020-02-16	NA	NA	NA
2020-02-23	NA	NA	NA
2020-03-01	NA	NA	NA
2020-03-08	NA	NA	NA
2020-03-15	1	NA	2917
2020-03-22	NA	NA	NA
2020-03-29	NA	NA	NA
2020-04-05	NA	NA	NA
2020-04-12	NA	NA	NA
2020-04-19	NA	NA	NA
2020-04-26	NA	NA	NA
2020-05-03	1	NA	3471
2020-05-10	4	NA	3047
2020-05-17	6	NA	2931
2020-05-24	7	NA	2500
2020-05-31	9	NA	2451
2020-06-07	3	NA	2572
2020-06-14	2	NA	2832
2020-06-21	NA	NA	NA
2020-06-28	NA	NA	NA
2020-07-05	NA	NA	NA
2020-07-12	1	NA	5989
2020-07-19	65	NA	5353
2020-07-26	1	NA	4532
2020-08-02	15	NA	4184
2020-08-09	1	NA	3743
2020-08-16	7	NA	3404
2020-08-23	32	NA	3249
2020-08-30	10	NA	3658
2020-09-06	3	NA	3087
2020-09-13	10	NA	3126
2020-09-20	37	NA	4035
2020-09-27	16	NA	4304
2020-10-04	4	NA	4178
2020-10-11	20	NA	6060
2020-10-18	8	NA	5035
2020-10-25	NA	NA	NA
2020-11-01	2	NA	7298
2020-11-08	2	NA	10565
2020-11-15	NA	NA	NA
2020-11-22	3	NA	8227
2020-11-29	NA	NA	NA
2020-12-06	2	NA	10364
2020-12-13	9	NA	13254
2020-12-20	2	NA	12055
2020-12-27	4	NA	9810
2021-01-03	11	NA	13150
2021-01-10	10	NA	21238
2021-01-17	26	NA	22219
2021-01-24	5	NA	19535
2021-01-31	2	NA	18517
2021-02-07	4	NA	20991
2021-02-14	5	NA	22171
2021-02-21	1	NA	17987
2021-02-28	6	NA	20111
2021-03-07	2	NA	22549
2021-03-14	6	NA	25019
2021-03-21	12	NA	29656
2021-03-28	19	NA	33153
2021-04-04	39	NA	38387
2021-04-11	73	NA	42325
2021-04-18	175	NA	40889
2021-04-25	359	NA	35545
2021-05-02	503	NA	35576
2021-05-09	625	NA	30376
2021-05-16	670	NA	23152
2021-05-23	885	NA	18325
2021-05-30	1138	NA	12671
2021-06-06	1803	NA	10126
2021-06-13	3199	NA	11154
2021-06-20	4622	NA	11076
2021-06-27	7687	NA	12890
2021-07-04	11142	NA	15330
2021-07-11	21286	NA	25409
2021-07-18	32675	NA	36187
2021-07-25	51143	NA	53998
2021-08-01	70208	NA	72510
2021-08-08	79388	NA	81082
2021-08-15	68183	NA	68949
2021-08-22	66405	NA	67180
2021-08-29	68033	NA	68641
2021-09-05	73752	NA	74227
2021-09-12	73645	NA	74148
2021-09-19	66874	NA	67337
2021-09-26	58560	NA	58765
2021-10-03	58775	NA	59038
2021-10-10	59943	NA	60192
2021-10-17	53362	NA	53571
2021-10-24	54684	NA	54890
2021-10-31	56132	NA	56340
2021-11-07	60691	3	60984
2021-11-14	63197	6	63583
2021-11-21	60112	9	60635
2021-11-28	48801	75	49000
2021-12-05	67857	597	68929
2021-12-12	59030	4645	64230
2021-12-19	44585	31082	76262
2021-12-26	19673	65963	86237
2022-01-02	10173	96405	107456
2022-01-09	4692	113797	118763
2022-01-16	1855	102075	104062
2022-01-23	800	99009	99865
2022-01-30	401	86562	87025
2022-02-06	338	79136	79520
2022-02-13	101	71735	71900
2022-02-20	50	49209	49324
2022-02-27	48	33997	34102
2022-03-06	28	22329	22436
2022-03-13	23	17681	17828
2022-03-20	16	17611	17666
2022-03-27	23	20055	20091
2022-04-03	12	22271	22310
2022-04-10	7	30189	30223
2022-04-17	12	31867	31903
2022-04-24	6	35667	35695
2022-05-01	4	33945	33966
2022-05-08	NA	39718	NA
2022-05-15	3	43473	43537
2022-05-22	2	42415	42490
2022-05-29	3	42974	43072
2022-06-05	4	39931	40030
2022-06-12	NA	41953	NA
2022-06-19	1	36163	36253
2022-06-26	2	35853	35919
2022-07-03	2	38989	39066
2022-07-10	1	41795	41896
2022-07-17	1	43814	43912
2022-07-24	NA	38425	NA
2022-07-31	1	35631	35698
2022-08-07	NA	32482	NA
2022-08-14	1	29302	29351
2022-08-21	NA	28437	NA
2022-08-28	1	27858	27948
2022-09-04	1	24342	24471
2022-09-11	NA	18609	NA
2022-09-18	1	20599	20986
2022-09-25	1	9464	9531
2022-10-02	NA	2105	NA
2022-10-09	NA	57	NA
